ts_code,ann_date,name,gender,edu,national,birthday,position,biz_key
000002.SZ,20251013,黄力平,M,硕士,中国,1968,董事会成员:董事长(20251012~至今);高管:法定代表人(20251012~至今),黄力平|M|1968|中国
000004.SZ,20190409,李林琳,F,硕士,中国,198411,委员会成员:薪酬与考核委员会委员(20151030~20190409);董事会成员:董事长(20151030~20190409);董事会成员:董事(20131120~20190409);委员会成员:提名委员会委员(20151030~20190409);委员会成员:战略委员会委员(20151030~20190409);委员会成员:战略委员会主任(20151030~20190409);高管:总经理(20130510~20190409),李林琳|F|198411|中国
000004.SZ,20190410,李林琳,F,硕士,中国,198411,高管:法定代表人(20151030~20190409),李林琳|F|198411|中国
000004.SZ,20190410,黄翔,M,硕士,中国,1966,委员会成员:提名委员会委员(20190409~20190519);高管:常务副总经理(20160722~20190409),黄翔|M|1966|中国
000004.SZ,20190426,唐银萍,F,专科,中国,198601,监事:职工监事(20150325~20220428),唐银萍|F|198601|中国
000004.SZ,20190521,唐银萍,F,专科,中国,198601,监事:监事长(20190520~20220428),唐银萍|F|198601|中国
000004.SZ,20190521,阮旭里,M,硕士,中国,1991,其他:董事会证券事务代表(20161223~至今),阮旭里|M|1991|中国
000004.SZ,20190621,徐愈富,M,本科,中国,197811,董事会成员:董事(20130510~20190621);委员会成员:战略委员会委员(20130510~20190621),徐愈富|M|197811|中国
000004.SZ,20190621,徐文苏,M,本科,中国,197701,高管:财务总监(20130510~20190621),徐文苏|M|197701|中国
000004.SZ,20190712,陈苏勤,F,硕士,中国,1960,董事会成员:董事(20190711~20220519),陈苏勤|F|1960|中国
000004.SZ,20190720,刘多宏,M,中职,中国,1967,委员会成员:战略委员会委员(20190719~20220526),刘多宏|M|1967|中国
000004.SZ,20191114,曾凡跃,M,专科,中国,1963,委员会成员:薪酬与考核委员会委员(20160520~20191113);委员会成员:薪酬与考核委员会主任(20160520~20190519);董事会成员:独立董事(20160520~20191113);委员会成员:提名委员会委员(20160520~20191113);委员会成员:提名委员会主任(20190520~20191113);委员会成员:审计委员会委员(20190520~20191113);委员会成员:审计委员会主任(20190520~20191113),曾凡跃|M|1963|中国
000004.SZ,20200324,仇夏萍,F,硕士,中国,1960,委员会成员:薪酬与考核委员会委员(20200323~20220526),仇夏萍|F|1960|中国
000004.SZ,20200324,肖永平,M,博士,中国,1966,委员会成员:提名委员会委员(20200323~20220526),肖永平|M|1966|中国
000004.SZ,20200513,徐文苏,M,本科,中国,197701,高管:董事会秘书(20151030~20200511);董事会成员:董事(20130510~20200511),徐文苏|M|197701|中国
000004.SZ,20201114,林绮霞,F,专科,中国,1975,监事:监事(20161025~20201113),林绮霞|F|1975|中国
000004.SZ,20210925,黄冰夏,F,硕士,中国,1981,高管:董事会秘书(20200512~20210925),黄冰夏|F|1981|中国
000004.SZ,20211016,阮旭里,M,硕士,中国,1991,监事:监事(20171113~20211015),阮旭里|M|1991|中国
000004.SZ,20211016,陈欣宇,F,硕士,中国,1978,董事会成员:独立董事(20190516~20211015);委员会成员:提名委员会委员(20190520~20211015);委员会成员:提名委员会主任(20200323~20211015);委员会成员:审计委员会委员(20190520~20211015),陈欣宇|F|1978|中国
000004.SZ,20211027,钟明霞,F,博士,中国,1964,委员会成员:审计委员会委员(20211025~20220526),钟明霞|F|1964|中国
000004.SZ,20211223,梁欣,M,硕士,中国,1971,高管:董事会秘书(20211221~20220526),梁欣|M|1971|中国
000004.SZ,20211223,黄翔,M,硕士,中国,1966,高管:代董事会秘书(20210925~20211221),黄翔|M|1966|中国
000004.SZ,20220521,肖永平,M,博士,中国,1966,董事会成员:独立董事(20190516~20250527),肖永平|M|1966|中国
000004.SZ,20220528,阮旭里,M,硕士,中国,1991,监事:职工监事(20220429~20220528),阮旭里|M|1991|中国
000004.SZ,20220830,梁欣,M,硕士,中国,1971,董事会成员:董事(20220520~20220830),梁欣|M|1971|中国
000004.SZ,20221129,刘多宏,M,中职,中国,1967,董事会成员:董事(20120517~20221129);委员会成员:提名委员会委员(20190520~20221129),刘多宏|M|1967|中国
000004.SZ,20221129,陈金海,M,本科,中国,1979,董事会成员:董事(20211015~20221129);委员会成员:战略委员会委员(20220527~20221129),陈金海|M|1979|中国
000004.SZ,20221216,钟明霞,F,博士,中国,1964,委员会成员:薪酬与考核委员会委员(20220527~20221215);董事会成员:独立董事(20211015~20221215);委员会成员:提名委员会委员(20211025~20221215);委员会成员:提名委员会主任(20211025~20221215),钟明霞|F|1964|中国
000004.SZ,20240321,付志伟,M,本科,中国,1986,高管:副总经理(20220527~20240320),付志伟|M|1986|中国
000004.SZ,20240508,仇夏萍,F,硕士,中国,1960,委员会成员:薪酬与考核委员会委员(20230427~至今);董事会成员:独立董事(20191113~至今);委员会成员:提名委员会委员(20220527~至今);委员会成员:提名委员会主任(20230427~至今);委员会成员:审计委员会委员(20200323~至今);委员会成员:审计委员会主任(20200323~至今),仇夏萍|F|1960|中国
000004.SZ,20240514,李钰,F,专科,中国,1975,监事:股东监事(20211015~至今);监事:监事长(20220527~至今),李钰|F|1975|中国
000004.SZ,20240518,于青川,M,硕士,中国,1967,高管:副总经理(20240517~至今),于青川|M|1967|中国
000004.SZ,20240528,叶鹏,M,硕士,中国,1987,监事:监事(20240527~至今),叶鹏|M|1987|中国
000004.SZ,20250701,吴涤非,M,本科,中国,1969,高管:财务总监(20241112~20250630),吴涤非|M|1969|中国
000004.SZ,20250701,郭魁元,M,本科,中国,1971,高管:财务总监(20250630~至今),郭魁元|M|1971|中国
000004.SZ,20251122,于青川,M,硕士,中国,1967,高管:副总经理(20240517~20251122),于青川|M|1967|中国
000006.SZ,20180721,方东红,M,硕士,中国,196703,高管:副总裁(20090729~20180720),方东红|M|196703|中国
000006.SZ,20200529,于冰,F,硕士,中国,196705,高管:财务总监(20120809~20200528);董事会成员:董事(20120827~20200528);委员会成员:审计委员会委员(20170316~20200528),于冰|F|196705|中国
000006.SZ,20200618,毛咏梅,F,硕士,中国,1971,委员会成员:审计委员会委员(20200616~20210511),毛咏梅|F|1971|中国
000006.SZ,20200629,朱新宏,M,硕士,中国,196005,高管:总裁(20170316~20200628),朱新宏|M|196005|中国
000006.SZ,20200716,朱新宏,M,硕士,中国,196005,董事会成员:董事(20170316~20200715);委员会成员:战略委员会委员(20170316~20200715),朱新宏|M|196005|中国
000006.SZ,20201014,李伟,M,本科,中国,1973,高管:副总裁(20130527~20201013),李伟|M|1973|中国
000006.SZ,20201014,赵宏伟,M,本科,中国,1968,高管:代总裁(20200628~20201013),赵宏伟|M|1968|中国
000006.SZ,20201211,张光柳,M,硕士,中国,1962,高管:副总裁(20180720~20201208),张光柳|M|1962|中国
000006.SZ,20201211,杨晓东,M,本科,中国,197305,高管:副总裁(20171026~20201208),杨晓东|M|197305|中国
000006.SZ,20210130,杜汛,F,本科,中国,197504,高管:董事会秘书(20171017~20210129),杜汛|F|197504|中国
000006.SZ,20210513,吕红军,M,本科,中国,197301,高管:副总裁(20201208~至今),吕红军|M|197301|中国
000006.SZ,20210513,张晓中,M,硕士,中国,196510,监事:监事会主席(20210512~20230426),张晓中|M|196510|中国
000006.SZ,20210513,张雄群,M,硕士,中国,197007,监事:职工监事(20210429~20230426),张雄群|M|197007|中国
000006.SZ,20210513,李伟,M,本科,中国,1973,高管:总裁(20201013~至今),李伟|M|1973|中国
000006.SZ,20210513,杜汛,F,本科,中国,197504,高管:副总裁(20201208~至今),杜汛|F|197504|中国
000006.SZ,20210513,聂浩,M,硕士,中国,197607,高管:副总裁(20201208~至今),聂浩|M|197607|中国
000006.SZ,20210513,黄秀章,M,硕士,中国,197001,监事:监事(20210512~至今),黄秀章|M|197001|中国
000006.SZ,20211012,毛咏梅,F,硕士,中国,1971,高管:财务总监(20200528~20211011);委员会成员:薪酬与考核委员会委员(20210512~20211011);董事会成员:董事(20200616~20211011),毛咏梅|F|1971|中国
000006.SZ,20220409,谭伟,M,硕士,中国,198004,高管:副总裁(20201208~20220409),谭伟|M|198004|中国
000006.SZ,20220511,王道海,M,硕士,中国,1966,董事会成员:董事(20201223~20220510);委员会成员:战略委员会委员(20210512~20220510),王道海|M|1966|中国
000006.SZ,20221015,孔国梁,M,硕士,中国,1983,董事会成员:董事(20201223~20221014);委员会成员:审计委员会委员(20210512~20221014),孔国梁|M|1983|中国
000006.SZ,20221116,赵宏伟,M,本科,中国,1968,董事会成员:董事长(20170316~20221116);董事会成员:董事(20170316~20221116);委员会成员:战略委员会委员(20170316~20221116);委员会成员:战略委员会主任(20170316~20221116),赵宏伟|M|1968|中国
000006.SZ,20230422,罗丽芬,F,硕士,中国,198301,其他:董事会证券事务代表(20171017~20230421);高管:董事会办公室主任(20210129~20230421),罗丽芬|F|198301|中国
000006.SZ,20230426,张雄群,M,硕士,中国,197007,监事:监事会召集人(20230426~至今);监事:监事(20230426~至今),张雄群|M|197007|中国
000006.SZ,20230426,陈旭,M,硕士,中国,198010,监事:职工监事(20230426~至今),陈旭|M|198010|中国
000006.SZ,20230428,张晓中,M,硕士,中国,196510,监事:监事(20210512~20230426),张晓中|M|196510|中国
000006.SZ,20230816,牛佳琪,F,本科,,198712,其他:董事会证券事务代表(20230815~至今),牛佳琪|F|198712|
000006.SZ,20230816,胡晔,F,硕士,中国,198710,其他:董事会证券事务代表(20230421~20230815),胡晔|F|198710|中国
000006.SZ,20230929,李普,M,本科,中国,197603,高管:财务总监(20230928~至今),李普|M|197603|中国
000006.SZ,20240113,孔祥云,M,硕士,中国,195410,董事会成员:独立董事(20170316~至今),孔祥云|M|195410|中国
000006.SZ,20240113,孙慧荣,M,硕士,中国,1983,董事会成员:董事(20221124~至今),孙慧荣|M|1983|中国
000006.SZ,20240113,宋扬,M,硕士,中国,1968,董事会成员:董事(20240112~至今),宋扬|M|1968|中国
000006.SZ,20240113,曲咏海,M,硕士,中国,197102,董事会成员:独立董事(20170316~至今),曲咏海|M|197102|中国
000006.SZ,20240113,李伟,M,本科,中国,1973,董事会成员:董事(20201110~至今),李伟|M|1973|中国
000006.SZ,20240113,李建春,M,博士,中国,1964,董事会成员:董事(20170316~至今),李建春|M|1964|中国
000006.SZ,20240113,李普,M,本科,中国,197603,董事会成员:董事(20231016~至今),李普|M|197603|中国
000006.SZ,20240113,石澜,F,硕士,中国,1974,董事会成员:董事(20220531~至今),石澜|F|1974|中国
000006.SZ,20240113,赵宏伟,M,本科,中国,1968,高管:法定代表人(20170316~20240112),赵宏伟|M|1968|中国
000006.SZ,20240113,陈英革,M,硕士,中国,196807,董事会成员:独立董事(20170316~至今),陈英革|M|196807|中国
000006.SZ,20240123,宋扬,M,硕士,中国,1968,董事会成员:董事长(20240112~至今);高管:法定代表人(20240112~至今),宋扬|M|1968|中国
000006.SZ,20240423,杜汛,F,本科,中国,197504,高管:董事会秘书(20240422~至今),杜汛|F|197504|中国
000006.SZ,20240423,杨晓东,M,本科,中国,197305,高管:董事会秘书(20210129~20240422),杨晓东|M|197305|中国
000006.SZ,20240522,杜汛,F,本科,中国,197504,高管:首席合规官(20240521~至今),杜汛|F|197504|中国
000006.SZ,20240613,李固根,M,硕士,中国,198304,董事会成员:独立董事(20240612~至今),李固根|M|198304|中国
000006.SZ,20240613,赵晋琳,F,博士,中国,196811,董事会成员:独立董事(20240612~至今),赵晋琳|F|196811|中国
000006.SZ,20240613,郭经纬,M,本科,中国,196104,董事会成员:独立董事(20240612~至今),郭经纬|M|196104|中国
000006.SZ,20240617,孔祥云,M,硕士,中国,195410,委员会成员:薪酬与考核委员会委员(20170316~20240614);委员会成员:战略委员会委员(20170316~20240614);委员会成员:审计委员会委员(20170316~20240614);委员会成员:审计委员会主任(20170316~20240614),孔祥云|M|195410|中国
000006.SZ,20240617,孙慧荣,M,硕士,中国,1983,委员会成员:审计委员会委员(20230110~至今),孙慧荣|M|1983|中国
